"Datum" "Date" "P" "Rohr" "Uhrzeit_der_Entnahme" "Wasserstand_unter_Flur_m" "wl" "Entnahmetiefe_m" "Temp" "pH" "ec" "SBV" "Cl" "O2" "O2percent" "COD" "oPO4" "TN" "NO3" "NO2" "NH4" "NO3_in_TN" "NO2_in_TN" "NH4_in_TN" "partMatter" "partOrganics" "COD_KMnO4" "remark" "CO2" "TOC_estimated_mg_L" "DOC_estimated_mg_L" "DOC_estimated_from_TOC" "ProbeRohr" "well_depth" "month_year_date" "sampl" "TS" "AS" "OS" "easting" "northing" "disttowater" "disttoFulda"
"1978-01-17" 1978-01-17 "P26" "3" NA 1.63 NA 2.7 7.5 6.64 326 NA NA 4.64 40 0.8 3 1220 1130 34 57 93 3 5 NA NA NA NA NA 0.3 NA 0.09 "3" "P26_3" "011978" "P26_3_011978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1978-01-17" 1978-01-17 "P26" "4" NA 1.63 NA 2.5 7.8 6.64 302 NA NA 3.99 35 1 1 240 190 27 27 78 11 11 NA NA NA NA NA 0.375 NA 0.1125 "4" "P26_4" "011978" "P26_4_011978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1978-01-17" 1978-01-17 "P26" "5" NA 1.63 NA 3.6 9 7.15 426 NA NA 4.62 41 0.5 13 4240 4220 NA 24 99 0 0.6 NA NA NA NA NA 0.1875 NA 0.05625 "5" "P26_5" "011978" "P26_5_011978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1978-01-17" 1978-01-17 "P28" NA NA 2.32 253.42 4.5 8.9 6.76 378 NA NA 7.7 69 0.5 29 6210 6160 0.5 49 99 0 0.8 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.1875 NA 0.05625 NA "P28" "011978" "P28_011978" NA NA NA 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1978-01-17" 1978-01-17 "P31" NA NA 3.38 253.7 3.7 6.8 6.62 260 NA NA 1.83 15 2.2 2 540 0 13 645 0 2 98 NA NA NA NA NA 0.825 NA 0.2475 NA "P31" "011978" "P31_011978" NA NA NA 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1978-01-17" 1978-01-17 "P32" NA NA 1.91 256.15 4 7.2 7.02 281 NA NA 4.27 36 1.5 7 4600 4520 NA 82 98 0 2 NA NA NA NA NA 0.5625 NA 0.16875 NA "P32" "011978" "P32_011978" NA NA NA 547620.670765342 5597035.8577628 16.3935506166589 295.030902995258
"1978-01-17" 1978-01-17 "Ful" NA NA NA NA NA 2.3 7.57 310 NA NA NA NA 1.6 218 4410 4410 41 319 92 0.9 7 NA NA NA NA NA 0.6 NA 0.18 "bei P06" "Ful" "011978" "Ful_011978" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"19.1.78" 1978-01-19 "P07" NA "0.34375" 0.58 255.83 3.7 7.8 7.07 661 NA NA 0.48 4 0.5 3 17 0 27 17 0 61 34 NA NA NA NA NA 0.1875 NA 0.05625 NA "P07" "011978" "P07_011978" NA NA NA 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"19.1.78" 1978-01-19 "P08" NA "0.3576388888888889" 0.53 253.36 3.3 8.1 7.08 391 NA NA 1.41 12 1 2 200 50 0.5 146 27 0 73 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.375 NA 0.1125 NA "P08" "011978" "P08_011978" NA NA NA 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"19.1.78" 1978-01-19 "P12" NA "0.43402777777777773" 3.1 250.45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P12" "011978" "P12_011978" NA NA NA 547534.416426167 5598038.10143395 127.400093596062 127.400093596062
"19.1.78" 1978-01-19 "P13" NA "0.43055555555555558" 4.22 248.83 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P13" "011978" "P13_011978" NA NA NA 547493.141343616 5598135.46829535 183.306089631364 183.306089631364
"19.1.78" 1978-01-19 "P22" NA "0.41666666666666669" 3.64 250.04 3.9 NA 6.81 2060 4.82 12.7 3.99 34 1.6 19 11410 11220 0 187 98 0 2 NA NA NA "n.n ersetzt durch 0" NA 0.6 NA 0.18 NA "P22" "011978" "P22_011978" NA NA NA 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"19.1.78" 1978-01-19 "P23" NA "0.40625" 1.36 252.95 3.2 7.6 7.42 701 NA NA 2.05 18 0.4 16 480 400 6 71 84 1 15 NA NA NA NA NA 0.15 NA 0.045 NA "P23" "011978" "P23_011978" NA NA NA 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"19.1.78" 1978-01-19 "P24" NA "0.3923611111111111" 0.81 253.57 3 NA 7.6 1004 NA NA 0.71 6 0.5 38 520 0 0 556 0 0 100 NA NA NA "schwarze Partikel im Wasser (vom Gewindeschneider? Am 25.1. steht neues Gewinde). Nn ersetzt durch 0" NA 0.1875 NA 0.05625 NA "P24" "011978" "P24_011978" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"19.1.78" 1978-01-19 "P25" NA "0.36805555555555558" 1.12 254.95 4.2 7.3 6.62 252 NA NA 1.34 11 1.9 7 1180 1080 13 88 92 1 7 NA NA NA NA NA 0.7125 NA 0.21375 NA "P25" "011978" "P25_011978" NA NA NA 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"19.1.78" 1978-01-19 "P27" NA "0.38194444444444442" 0.61 255.4 3.5 8.5 7.13 963 NA NA 2.82 25 0.5 14 1060 1000 NA 55 95 0 5 NA NA NA NA NA 0.1875 NA 0.05625 NA "P27" "011978" "P27_011978" NA NA NA 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
"19.1.78" 1978-01-19 "P06" NA "0.44097222222222227" NA NA NA 4 7.51 222 0.92 16.3 NA NA 1.9 127 4770 4540 34 200 95 0.7 4 NA NA NA NA NA 0.7125 NA 0.21375 NA "P06" "011978" "P06_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-23" 1978-01-23 "P24" NA "0.33333333333333331" NA NA 3.5 7.2 7.13 1008 NA NA 0.8 7 0.7 3 120 0 47 277 0 15 85 NA NA NA NA NA 0.2625 NA 0.07875 NA "P24" "011978" "P24_011978" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1978-01-23" 1978-01-23 "P06" NA NA 0.9 253.1 1.1 3.6 6.94 217 NA NA 7.03 55 1.6 39 3760 3680 0.5 79 98 0 2 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 NA "P06" "011978" "P06_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-23" 1978-01-23 "P06" "2" NA 0.9 NA 1.25 3.3 7.01 219 NA NA 9.76 75 2.2 129 3950 3610 6 336 91 0.2 9 NA NA NA NA NA 0.825 NA 0.2475 "2" "P06_2" "011978" "P06_2_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-23" 1978-01-23 "P06" "3" NA 0.9 NA 1.5 3.4 6.85 238 NA NA 8.36 65 2.4 71 4070 3640 6 422 89 0.1 10 NA NA NA NA NA 0.9 NA 0.27 "3" "P06_3" "011978" "P06_3_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-23" 1978-01-23 "P06" "4" NA 0.9 NA 1.75 NA 6.89 222 NA NA 6.6 52 1.6 126 3880 3830 6 42 99 0.2 1.1 NA NA NA NA NA 0.6 NA 0.18 "4" "P06_4" "011978" "P06_4_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-23" 1978-01-23 "P06" "5" NA 0.9 NA 2.25 4.4 7.17 262 NA NA 4.09 33 1.9 11 4250 3990 27 236 94 0.6 6 NA NA NA NA NA 0.7125 NA 0.21375 "5" "P06_5" "011978" "P06_5_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-23" 1978-01-23 "P06" "6" NA 0.9 NA 2.25 3.9 6.85 236 NA NA 6.11 48 1.6 47 3970 3870 20 79 98 0.5 2 NA NA NA NA NA 0.6 NA 0.18 "6" "P06_6" "011978" "P06_6_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-04-24" 1978-04-24 "P01" NA "0.48958333333333331" NA NA 4.5 7.2 6.39 600 1.78 52.8 1.91 16 1.5 7 820 760 7 53 93 0.9 6 NA NA NA NA NA 0.5625 NA 0.16875 NA "P01" "041978" "P01_041978" NA NA NA 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1978-04-24" 1978-04-24 "P03" NA "0.47222222222222227" NA NA 3.9 7.3 6.76 731 3.37 91.2 2.36 20 0.8 29 640 510 2 129 80 0.3 20 NA NA NA NA NA 0.3 NA 0.09 NA "P03" "041978" "P03_041978" NA NA NA 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1978-04-24" 1978-04-24 "P04" NA "0.3888888888888889" NA NA 3.8 6.9 7 344 3.5 28.7 2.37 20 1 7 240 160 7 73 67 2.9 30 NA NA NA NA NA 0.375 NA 0.1125 NA "P04" "041978" "P04_041978" NA NA NA 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1978-04-24" 1978-04-24 "P05" NA "0.40625" NA NA 3.3 6.6 7.17 894 4.54 50.1 3.45 29 0.2 7 170 50 2 117 30 1.2 69 NA NA NA NA NA 0.075 NA 0.0225 NA "P05" "041978" "P05_041978" NA NA NA 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1978-04-24" 1978-04-24 "P06" NA "0.4236111111111111" NA NA 2.45 6.8 6.75 281 1.97 24.5 7.24 61 1.3 115 4580 4540 25 14 99 0.5 0.3 NA NA NA NA NA 0.4875 NA 0.14625 NA "P06" "041978" "P06_041978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-04-24" 1978-04-24 "P10" NA "0.44097222222222227" NA NA 3.9 7.2 7.1 483 3.91 55.8 3.31 28 0.3 5 320 210 0 111 65 0 35 NA NA NA "n.n ersetzt durch 0" NA 0.1125 NA 0.03375 NA "P10" "041978" "P10_041978" NA NA NA 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1978-04-24" 1978-04-24 "P11" NA "0.45833333333333331" NA NA 2.6 7.6 6.67 467 2.04 57.6 3.78 33 1 3 190 55 15 120 29 8 63 NA NA NA NA NA 0.375 NA 0.1125 NA "P11" "041978" "P11_041978" NA NA NA 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1978-04-24" 1978-04-24 "P12" NA "0.50347222222222221" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P12" "041978" "P12_041978" NA NA NA 547534.416426167 5598038.10143395 127.400093596062 127.400093596062
"1978-04-24" 1978-04-24 "P13" NA "0.50694444444444442" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P13" "041978" "P13_041978" NA NA NA 547493.141343616 5598135.46829535 183.306089631364 183.306089631364
"1978-04-24" 1978-04-24 "P31" NA "0.36805555555555558" NA NA 4.3 7.8 6.26 220 1.52 20.8 4.11 36 1.7 9 750 310 10 428 42 13 57 NA NA NA NA NA 0.6375 NA 0.19125 NA "P31" "041978" "P31_041978" NA NA NA 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1978-04-24" 1978-04-24 "Sei" NA "0.4375" NA NA 8.8 8.8 8.22 212 1.26 21.1 NA NA 1.5 157 4830 4680 47 103 97 1 2.1 NA NA NA NA NA 0.5625 NA 0.16875 "bei P06" "Sei" "041978" "Sei_041978" NA NA NA 547768.354841584 5597643.29771444 0 4
"1978-04-25" 1978-04-25 "P07" NA "0.35069444444444442" NA NA 4.1 6.5 7.05 643 5.53 68.6 0.62 5 0.7 5 37 11 12 14 30 32 38 NA NA NA NA NA 0.2625 NA 0.07875 NA "P07" "041978" "P07_041978" NA NA NA 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1978-04-25" 1978-04-25 "P08" NA "0.36458333333333331" NA NA 3.75 6 6.99 410 2.96 40.9 1.64 14 1 13 260 160 2 100 51 0.8 38 NA NA NA NA NA 0.375 NA 0.1125 NA "P08" "041978" "P08_041978" NA NA NA 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1978-04-25" 1978-04-25 "P22" NA "0.44097222222222227" NA NA 4.5 8.7 6.68 1624 4.37 36.6 2.73 24 0.7 15 10150 10020 2 132 99 0.02 1.3 NA NA NA NA NA 0.2625 NA 0.07875 NA "P22" "041978" "P22_041978" NA NA NA 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"1978-04-25" 1978-04-25 "P23" NA "0.42708333333333331" NA NA 3.7 7.7 7.34 725 4.41 23.1 2.43 21 0.2 26 150 140 5 7 92 3.3 4.7 NA NA NA NA NA 0.075 NA 0.0225 NA "P23" "041978" "P23_041978" NA NA NA 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"1978-04-25" 1978-04-25 "P24" NA "0.45833333333333331" NA NA 3.5 7.1 7.09 936 4.28 59.2 2.97 25 0.3 3 250 50 20 184 18 8 74 NA NA NA NA NA 0.1125 NA 0.03375 NA "P24" "041978" "P24_041978" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1978-04-25" 1978-04-25 "P25" NA "0.375" NA NA 5 6.7 6.51 245 2.04 23.9 1.28 11 1.5 5 180 60 2 117 34 1.1 65 NA NA NA NA NA 0.5625 NA 0.16875 NA "P25" "041978" "P25_041978" NA NA NA 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1978-04-25" 1978-04-25 "P27" NA "0.3888888888888889" NA NA 4.2 7.2 7.15 920 4.16 111 3.42 29 0.2 18 2480 2430 2 53 98 0.1 2.1 NA NA NA NA NA 0.075 NA 0.0225 NA "P27" "041978" "P27_041978" NA NA NA 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
"1978-04-25" 1978-04-25 "P28" NA "0.40625" NA NA 5.2 7.9 6.68 375 2.32 41.6 7.98 69 0.2 49 8070 8030 0 43 99 0 0.5 NA NA NA "n.n ersetzt durch 0" NA 0.075 NA 0.0225 NA "P28" "041978" "P28_041978" NA NA NA 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1981-09-03" 1981-09-03 "P01" NA "0.4826388888888889" NA NA NA 10.9 6.45 714 3.32 93.5 1.68 15.75 2.5 4 111 31 8 72 27.93 7.21 64.86 NA NA NA NA NA 0.9375 NA 0.28125 NA "P01" "091981" "P01_091981" NA NA NA 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1981-09-03" 1981-09-03 "P03" NA "0.46527777777777773" NA NA NA 12.7 6.64 495 3.3 41.9 2.61 25.37 2.5 24 195 30 8 157 15.38 4.1 80.51 NA NA NA NA NA 0.9375 NA 0.28125 NA "P03" "091981" "P03_091981" NA NA NA 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1981-09-03" 1981-09-03 "P09" NA "0.44444444444444442" NA NA 3.2 11.9 6.65 424 3.34 25.9 3.26 31.23 1.85 7 890 740 28 122 83.15 3.15 13.71 NA NA NA NA NA 0.69375 NA 0.208125 NA "P09" "091981" "P09_091981" NA NA NA 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1981-09-03" 1981-09-03 "P11" NA "0.49652777777777773" NA NA NA 12.2 6.28 419 1.82 53.1 2.71 26.09 1.2 4 198 77 10 111 38.89 5.05 56.06 NA NA NA NA NA 0.45 NA 0.135 NA "P11" "091981" "P11_091981" NA NA NA 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1981-09-03" 1981-09-03 "P24" NA "0.4375" NA NA NA 11.8 6.8 1111 5.48 155.3 0.68 6.52 0.8 3 171 0 5 166 0 2.92 97.08 NA NA NA NA NA 0.3 NA 0.09 NA "P24" "091981" "P24_091981" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1981-09-03" 1981-09-03 "P25" NA "0.41666666666666669" NA NA NA 9.7 6.47 352 3.9 22.2 0.16 1.49 1.85 3 394 57 8 329 14.47 2.03 83.5 NA NA NA NA NA 0.69375 NA 0.208125 NA "P25" "091981" "P25_091981" NA NA NA 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1981-09-03" 1981-09-03 "P26" NA "0.375" NA NA 4 10.8 6.54 563 2.48 46.7 3.34 31.15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P26" "091981" "P26_091981" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1981-09-03" 1981-09-03 "P28" NA "0.39583333333333331" NA NA NA 9.1 6.34 455 1.12 50.9 7.07 63.39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P28" "091981" "P28_091981" NA NA NA 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1981-09-03" 1981-09-03 "Ful" NA "0.5625" NA NA NA 12.2 7.24 370 1.34 60.9 9.72 93.62 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Ful" "091981" "Ful_091981" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"29129" 1979-10-01 "P04" NA NA NA NA NA NA NA NA NA NA NA NA 2.7 NA NA NA NA NA NA NA NA NA NA NA NA NA 1.0125 NA 0.30375 NA "P04" "101979" "P04_101979" 479.6 439.28 40.32 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"29129" 1979-10-01 "P05" NA NA NA NA NA NA NA NA NA NA NA NA 1.9 NA NA NA NA NA NA NA NA NA NA NA NA NA 0.7125 NA 0.21375 NA "P05" "101979" "P05_101979" 376.62 345.93 30.69 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"29129" 1979-10-01 "P08" NA NA NA NA NA NA NA NA NA NA NA NA 2.5 5 800 0 2 1070 0 0.2 99.8 NA NA NA NA NA 0.9375 NA 0.28125 NA "P08" "101979" "P08_101979" 57.25 51.53 5.71 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"29129" 1979-10-01 "P09" NA NA NA NA NA NA NA NA NA NA NA NA 2.5 3 72 0 2 105 0 1.9 98.1 NA NA NA NA NA 0.9375 NA 0.28125 NA "P09" "101979" "P09_101979" 113.84 102.71 11.13 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1979-08-28" 1979-08-28 "P24" NA "0.63541666666666663" NA NA 3.5 11.2 7.15 1052 4.36 121.8 1.32 12.4 2.2 34 210 55 10 145 26 4.8 69 NA NA NA NA NA 0.825 NA 0.2475 NA "P24" "081979" "P24_081979" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1979-11-01" 1979-11-01 "II" NA NA NA NA 2.51 10.9 7.76 443 5.43 10.8 1.95 18.2 0.5 0.5 410 0 9 605 0 1.5 98.5 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.1875 NA 0.05625 NA "II" "111979" "II_111979" NA NA NA NA NA NA NA
"1979-10-18" 1979-10-18 "P01" NA NA NA NA 4.5 10.9 6.6 978 3.2 142.7 1.78 16.6 2.2 9 105 15 NA 90 14 NA 86 NA NA NA NA NA 0.825 NA 0.2475 NA "P01" "101979" "P01_101979" 12.88 9.41 3.47 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1979-10-17" 1979-10-17 "P03" NA NA NA NA 3.9 11.8 6.95 324 2.44 29.6 4.08 38.9 2.7 29 2130 1620 NA 510 76 NA 24 NA NA NA NA NA 1.0125 NA 0.30375 NA "P03" "101979" "P03_101979" 190.18 170.59 19.59 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1979-10-19" 1979-10-19 "P04" NA NA NA NA 3.8 11.3 7.03 384 3.64 27.3 3.72 35.1 2.7 4 175 75 5 95 43 2.9 54 NA NA NA NA NA 1.0125 NA 0.30375 NA "P04" "101979" "P04_101979" 479.6 439.28 40.32 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1979-10-19" 1979-10-19 "P05" NA NA NA NA 3.3 11.6 7.3 1037 4.43 53.3 2.97 28.2 1.9 2 90 20 0.5 70 22 0 78 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.7125 NA 0.21375 NA "P05" "101979" "P05_101979" 376.62 345.93 30.69 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1979-10-19" 1979-10-19 "P06" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P06" "101979" "P06_101979" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1979-10-18" 1979-10-18 "P07" NA NA NA NA 4.1 11.4 7.07 650 5.47 70.6 1.46 13.8 2.2 1 50 0 0.5 50 0 0 100 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.825 NA 0.2475 NA "P07" "101979" "P07_101979" 1047.28 976.5 70.78 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1979-10-18" 1979-10-18 "P08" NA NA NA NA 4.3 11.2 7.09 444 3.9 35 1.04 9.8 2.5 5 800 0 2 1070 0 0.2 99.8 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.9375 NA 0.28125 NA "P08" "101979" "P08_101979" 57.25 51.53 5.71 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1979-10-17" 1979-10-17 "P09" NA NA NA NA 3.6 11.1 6.94 490 3.63 32 1.36 12.8 2.5 3 72 0 2 105 0 1.9 98.1 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.9375 NA 0.28125 NA "P09" "101979" "P09_101979" 113.84 102.71 11.13 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1979-10-19" 1979-10-19 "P10" NA NA NA NA 3.9 11.6 7.24 505 4.35 45.3 2.64 25.1 1.9 4 65 20 NA 45 31 0 69 NA NA NA NA NA 0.7125 NA 0.21375 NA "P10" "101979" "P10_101979" 554.53 358.65 195.88 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1979-10-17" 1979-10-17 "P11" NA NA NA NA 2.6 11.2 6.85 346 1.56 56.4 4.46 42 2.7 0.5 1010 870 20 120 86 2 12 NA NA NA "Sp. Ersetzt durch 0.5" NA 1.0125 NA 0.30375 NA "P11" "101979" "P11_101979" 609.59 591.39 18.2 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1979-10-17" 1979-10-17 "P12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P12" "101979" "P12_101979" NA NA NA 547534.416426167 5598038.10143395 127.400093596062 127.400093596062
"1979-10-17" 1979-10-17 "P13" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P13" "101979" "P13_101979" NA NA NA 547493.141343616 5598135.46829535 183.306089631364 183.306089631364
"1979-10-18" 1979-10-18 "P22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P22" "101979" "P22_101979" NA NA NA 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"1979-10-18" 1979-10-18 "P23" NA NA NA NA 3.7 12.4 7.37 709 5.7 49 2.36 22.8 2.2 15 345 330 5 10 95.7 1.4 2.9 NA NA NA NA NA 0.825 NA 0.2475 NA "P23" "101979" "P23_101979" 39.77 37.25 2.52 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"1979-10-16" 1979-10-16 "P24" NA NA NA NA 3.5 11.4 7.21 826 4.48 31.2 0.77 7.3 2.7 0.5 160 0 5 265 0 1.8 98.2 NA NA NA NA NA 1.0125 NA 0.30375 NA "P24" "101979" "P24_101979" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1979-10-17" 1979-10-17 "P25" NA NA NA NA 4.8 10.3 6.6 296 2.88 23.4 1.51 13.9 5.3 2 270 0 2 570 0 0.9 99.6 NA NA NA NA NA 1.9875 NA 0.59625 NA "P25" "101979" "P25_101979" 322 299.4 22.6 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1979-10-16" 1979-10-16 "P26" NA NA NA NA 4.55 10.5 6.99 515 2.92 41.9 3.31 30.6 2.2 26 2690 2670 0.5 15 99.3 0 0.7 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.825 NA 0.2475 NA "P26" "101979" "P26_101979" 656.37 618.87 37.5 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-10-16" 1979-10-16 "P26" "2" NA NA NA 2 11.4 6.65 337 1.17 44.2 NA NA 2.2 0 330 190 5 135 57 1.5 41 NA NA NA "n.n. ersetzt durch 0" NA 0.825 NA 0.2475 "2" "P26_2" "101979" "P26_2_101979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-10-16" 1979-10-16 "P26" "3" NA NA NA 3 10.9 6.81 451 2.3 41.9 5.63 52.6 2.2 0.5 1600 1560 15 30 97.2 0.9 1.9 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.825 NA 0.2475 "3" "P26_3" "101979" "P26_3_101979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-10-16" 1979-10-16 "P26" "4" NA NA NA 2.9 11 6.57 357 1.73 35.3 4.14 38.8 1.2 2 420 390 5 20 93.8 1.2 5 NA NA NA NA NA 0.45 NA 0.135 "4" "P26_4" "101979" "P26_4_101979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-10-16" 1979-10-16 "P26" "5" NA NA NA 4 10.4 7.12 559 2.98 43.7 3.74 34.6 1.6 20 3930 3910 0.5 20 99.5 0 0.5 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 "5" "P26_5" "101979" "P26_5_101979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-10-17" 1979-10-17 "P27" NA NA NA NA 4.2 11.2 7.09 1166 5.14 139.9 2.75 25.9 1.9 15 2630 2600 5 30 98.7 0.2 1.1 NA NA NA NA NA 0.7125 NA 0.21375 NA "P27" "101979" "P27_101979" 602.19 567.82 34.36 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
"1979-10-16" 1979-10-16 "P28" NA NA NA NA 5.3 9.3 6.79 405 2.11 42.1 7.18 64.6 2.7 26 9590 9500 0.5 90 99.1 0 0.9 NA NA NA "Sp. Ersetzt durch 0.5" NA 1.0125 NA 0.30375 NA "P28" "101979" "P28_101979" NA NA NA 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1979-10-18" 1979-10-18 "P31" NA NA NA NA 4 11.3 6.39 325 2.65 28 1.1 10.4 1.6 2 395 55 0.5 340 14 0 86 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 NA "P31" "101979" "P31_101979" NA NA NA 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1979-10-19" 1979-10-19 "P32" NA NA NA NA 4.3 10.6 7.43 618 4.95 58.6 2.11 19.6 0.8 16 100 0 0.5 120 0 0 100 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.3 NA 0.09 NA "P32" "101979" "P32_101979" 202.91 186.52 16.39 547620.670765342 5597035.8577628 16.3935506166589 295.030902995258
