"Datum" "Date" "P" "Rohr" "Uhrzeit_der_Entnahme" "Wasserstand_unter_Flur_m" "wl" "Entnahmetiefe_m" "Temp" "pH" "ec" "SBV" "Cl" "O2" "O2percent" "COD" "oPO4" "TN" "NO3" "NO2" "NH4" "NO3_in_TN" "NO2_in_TN" "NH4_in_TN" "partMatter" "partOrganics" "COD_KMnO4" "remark" "CO2" "TOC_estimated_mg_L" "DOC_estimated_mg_L" "DOC_estimated_from_TOC" "ProbeRohr" "well_depth" "month_year_date" "sampl" "TS" "AS" "OS" "easting" "northing" "disttowater" "disttoFulda"
"1979-01-24" 1979-01-24 "P01" NA "0.38194444444444442" 1.48 NA 4.5 7.4 6.62 653 1.92 89.4 1.75 15 2.3 2 5500 5390 87 25 97.9643765903308 1.58124318429662 0.454380225372592 19.4 5.5 NA NA NA 0.8625 0.3625 0.25875 NA "P01" "011979" "P01_011979" 20.1 14.4 5.7 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1979-01-22" 1979-01-22 "P03" NA "0.3923611111111111" 1.91 NA 3.9 4.5 6.94 334 2.21 87.3 2.43 19 1.8 84 3610 3540 9 60 98.0881130507066 0.249376558603491 1.66251039068994 36.6 8.9 NA NA NA 0.675 -0.134090909090909 0.2025 NA "P03" "011979" "P03_011979" 46.055 33.835 12.22 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1979-01-26" 1979-01-26 "P04" NA "0.41666666666666669" 1.15 NA 3.8 6.8 7.1 350 3.82 26.2 2.35 20 1.4 3 190 100 6 85 52.3560209424084 3.1413612565445 44.5026178010471 584 52 NA NA NA 0.525 -4.20227272727273 0.1575 NA "P04" "011979" "P04_011979" 634.92 578.06 56.86 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1979-01-26" 1979-01-26 "P05" NA "0.4375" 1.07 NA 3.3 5.6 7.32 822 4.36 50.6 3.24 27 0.8 7 430 320 3 105 74.7663551401869 0.700934579439252 24.5327102803738 125 16 NA NA NA 0.3 -1.15454545454545 0.09 NA "P05" "011979" "P05_011979" 145.79 127.56 18.22 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1979-01-23" 1979-01-23 "P07" NA "0.375" 0.6 NA 4.1 6.1 7.15 604 5.43 67.3 1 8.3 1.2 3 30 0 16 20 0 44.4444444444444 55.5555555555556 273 20 NA NA NA 0.45 -1.36818181818182 0.135 NA "P07" "011979" "P07_011979" 316.98 293.84 23.14 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1979-01-23" 1979-01-23 "P08" NA "0.3923611111111111" 0.77 NA 3.75 7.5 7.17 374 3.07 34.3 1.3 11 1.4 4 140 15 6 120 10.6382978723404 4.25531914893617 85.1063829787234 49 8.2 NA NA NA 0.525 -0.220454545454545 0.1575 NA "P08" "011979" "P08_011979" 51.6 42.87 8.72 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1979-01-23" 1979-01-23 "P09" NA "0.41666666666666669" 1.49 NA 3.6 6.8 7.05 446 3.05 42.8 2 17 1.2 2 160 85 3 70 53.7974683544304 1.89873417721519 44.3037974683544 56 7.5 NA NA NA 0.45 -0.231818181818182 0.135 NA "P09" "011979" "P09_011979" 61.09 52.9 8.2 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1979-01-29" 1979-01-29 "P10" NA "0.43402777777777773" 2.66 NA 3.9 6.5 7.29 462 4.3 47.1 2.36 20 0.8 4 455 405 3 45 89.4039735099338 0.662251655629139 9.93377483443709 78 15 NA NA NA 0.3 -1.06363636363636 0.09 NA "P10" "011979" "P10_011979" 101.24 82.24 19 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1979-01-24" 1979-01-24 "P11" NA "0.3611111111111111" 1.35 NA 2.5 6.3 6.84 328 1.92 47.7 3.63 30 1.2 2 470 385 25 60 81.9148936170213 5.31914893617021 12.7659574468085 269 20 NA NA NA 0.45 -1.36818181818182 0.135 NA "P11" "011979" "P11_011979" 365.58 337.96 27.62 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1979-01-29" 1979-01-29 "P23" NA "0.46527777777777773" 1.77 NA 3.7 6.3 7.35 630 4.56 23.6 2.26 19 0.8 16 580 515 3 60 89.1003460207613 0.519031141868512 10.3806228373702 83 12 NA NA NA 0.3 -0.790909090909091 0.09 NA "P23" "011979" "P23_011979" 100.44 85.86 14.58 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"1979-01-18" 1979-01-18 "P24" NA "0.375" 0.94 NA 3.5 7.1 7.2 823 4.51 38 1.87 16 0.6 2 300 130 9 160 43.4782608695652 3.01003344481605 53.5117056856187 726 48 NA NA NA 0.225 -4.13863636363636 0.0675 NA "P24" "011979" "P24_011979" 759.8 709.29 50.51 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1979-01-29" 1979-01-29 "P25" NA "0.4201388888888889" 1.27 NA 5 8 6.7 346 3.16 31 0.74 6.5 2.5 18 735 340 9 385 46.3215258855586 1.22615803814714 52.4523160762943 442 24 NA NA NA 0.9375 -1.24431818181818 0.28125 NA "P25" "011979" "P25_011979" 485.89 458.98 26.91 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1979-01-22" 1979-01-22 "P26" NA "0.375" 2 NA 4.55 8.1 6.96 415 2.92 40.3 3.31 29 0.4 26 2530 2500 0.5 30 98.7947046038332 0.0197589409207666 1.185536455246 201 16 NA NA NA 0.15 -1.30454545454545 0.045 NA "P26" "011979" "P26_011979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-01-29" 1979-01-29 "P27" NA "0.40625" 0.73 NA 4.2 6.8 7.05 1146 4.61 138.3 2.26 19 1 8 4880 4710 74 95 96.5361754457881 1.51670424267268 1.94712031153925 1014 46 NA NA NA 0.375 -3.80681818181818 0.1125 NA "P27" "011979" "P27_011979" 1101.89 1051.61 50.28 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
