STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
       1526;19490507;    5;   0.0;   0;   0;eor
       1526;19490508;    5;   0.0;   0;   0;eor
       1526;19490509;    5;   0.6;   1;   0;eor
       1526;19490510;    5;   0.1;   1;   0;eor
       1526;19490511;    5;   0.0;   0;   0;eor
       1526;19490512;    5;   0.0;   1;   0;eor
       1526;19490513;    5;   9.9;   1;   0;eor
       1526;19490514;    5;  11.1;   1;   0;eor
       1526;19490515;    5;  18.6;   1;   0;eor
       1526;19490516;    5;   0.0;   1;   0;eor
       1526;19490517;    5;   3.1;   1;   0;eor
       1526;19490518;    5;   3.1;   1;   0;eor
       1526;19490519;    5;   0.4;   1;   0;eor
       1526;19490520;    5;   2.4;   1;   0;eor
       1526;19490521;    5;   0.6;   1;   0;eor
       1526;19490522;    5;   0.0;   0;   0;eor
       1526;19490523;    5;   0.0;   0;   0;eor
       1526;19490524;    5;   2.3;   1;   0;eor
       1526;19490525;    5;   0.0;   0;   0;eor
       1526;19490526;    5;   4.5;   1;   0;eor
       1526;19490527;    5;   0.0;   0;   0;eor
       1526;19490528;    5;   0.1;   1;   0;eor
       1526;19490529;    5;  15.8;   1;   0;eor
       1526;19490530;    5;   0.0;   0;   0;eor
       1526;19490531;    5;   4.3;   1;   0;eor
       1526;19490601;    5;   0.0;   0;   0;eor
       1526;19490602;    5;   2.5;   1;   0;eor
       1526;19490603;    5;   5.0;   1;   0;eor
       1526;19490604;    5;   2.3;   1;   0;eor
       1526;19490605;    5;   0.0;   0;   0;eor
       1526;19490606;    5;   0.0;   0;   0;eor
       1526;19490607;    5;   0.0;   0;   0;eor
       1526;19490608;    5;   0.5;   1;   0;eor
       1526;19490609;    5;   0.8;   1;   0;eor
       1526;19490610;    5;   3.3;   1;   0;eor
       1526;19490611;    5;   7.0;   1;   0;eor
       1526;19490612;    5;   1.4;   1;   0;eor
       1526;19490613;    5;   0.1;   1;   0;eor
       1526;19490614;    5;   8.0;   1;   0;eor
       1526;19490615;    5;   0.0;   0;   0;eor
       1526;19490616;    5;   0.0;   0;   0;eor
       1526;19490617;    5;   0.0;   0;   0;eor
       1526;19490618;    5;   0.0;   1;   0;eor
       1526;19490619;    5;   0.0;   1;   0;eor
       1526;19490620;    5;   0.0;   0;   0;eor
       1526;19490621;    5;   0.0;   0;   0;eor
       1526;19490622;    5;   0.0;   0;   0;eor
       1526;19490623;    5;   0.0;   1;   0;eor
       1526;19490624;    5;   0.0;   0;   0;eor
       1526;19490625;    5;   0.0;   1;   0;eor
       1526;19490626;    5;   0.0;   0;   0;eor
       1526;19490627;    5;   0.0;   0;   0;eor
       1526;19490628;    5;   0.0;   0;   0;eor
       1526;19490629;    5;   0.0;   1;   0;eor
       1526;19490630;    5;   0.0;   0;   0;eor
       1526;19490701;    5;   0.0;   0;   0;eor
       1526;19490702;    5;   0.0;   0;   0;eor
       1526;19490703;    5;   0.0;   0;   0;eor
       1526;19490704;    5;   0.0;   0;   0;eor
       1526;19490705;    5;   7.0;   1;   0;eor
       1526;19490706;    5;   0.0;   0;   0;eor
       1526;19490707;    5;   0.8;   1;   0;eor
       1526;19490708;    5;   0.0;   0;   0;eor
       1526;19490709;    5;   0.0;   0;   0;eor
       1526;19490710;    5;   0.0;   0;   0;eor
       1526;19490711;    5;   0.0;   0;   0;eor
       1526;19490712;    5;   0.0;   0;   0;eor
       1526;19490713;    5;   0.0;   0;   0;eor
       1526;19490714;    5;   0.0;   0;   0;eor
       1526;19490715;    5;   0.0;   0;   0;eor
       1526;19490716;    5;   3.7;   1;   0;eor
       1526;19490717;    5;   0.0;   0;   0;eor
       1526;19490718;    5;   0.0;   1;   0;eor
       1526;19490719;    5;   1.2;   1;   0;eor
       1526;19490720;    5;   0.2;   1;   0;eor
       1526;19490721;    5;   0.0;   0;   0;eor
       1526;19490722;    5;   0.0;   0;   0;eor
       1526;19490723;    5;   0.0;   0;   0;eor
       1526;19490724;    5;   0.0;   0;   0;eor
       1526;19490725;    5;   0.0;   0;   0;eor
       1526;19490726;    5;   0.0;   0;   0;eor
       1526;19490727;    5;   0.0;   0;   0;eor
       1526;19490728;    5;   0.0;   0;   0;eor
       1526;19490729;    5;   0.0;   1;   0;eor
       1526;19490730;    5;   0.0;   0;   0;eor
       1526;19490731;    5;   0.3;   1;   0;eor
       1526;19490801;    5;   0.0;   0;   0;eor
       1526;19490802;    5;  18.5;   1;   0;eor
       1526;19490803;    5;   4.8;   1;   0;eor
       1526;19490804;    5;   0.0;   1;   0;eor
       1526;19490805;    5;   0.0;   0;   0;eor
       1526;19490806;    5;   0.0;   0;   0;eor
       1526;19490807;    5;   0.0;   0;   0;eor
       1526;19490808;    5;  29.9;   1;   0;eor
       1526;19490809;    5;   7.0;   1;   0;eor
       1526;19490810;    5;   0.0;   1;   0;eor
       1526;19490811;    5;   7.9;   1;   0;eor
       1526;19490812;    5;   3.2;   1;   0;eor
       1526;19490813;    5;   0.0;   0;   0;eor
       1526;19490814;    5;   0.0;   0;   0;eor
       1526;19490815;    5;   0.0;   0;   0;eor
       1526;19490816;    5;   0.9;   1;   0;eor
       1526;19490817;    5;   0.0;   0;   0;eor
       1526;19490818;    5;   0.0;   1;   0;eor
       1526;19490819;    5;   3.0;   1;   0;eor
       1526;19490820;    5;   0.5;   1;   0;eor
       1526;19490821;    5;   0.0;   0;   0;eor
       1526;19490822;    5;   0.0;   0;   0;eor
       1526;19490823;    5;   0.0;   0;   0;eor
       1526;19490824;    5;   0.0;   1;   0;eor
       1526;19490825;    5;   0.0;   0;   0;eor
       1526;19490826;    5;   0.0;   0;   0;eor
       1526;19490827;    5;   3.6;   1;   0;eor
       1526;19490828;    5;   2.4;   1;   0;eor
       1526;19490829;    5;   0.0;   0;   0;eor
       1526;19490830;    5;   0.0;   0;   0;eor
       1526;19490831;    5;   2.2;   1;   0;eor
       1526;19490901;    5;   4.1;   1;   0;eor
       1526;19490902;    5;   0.0;   0;   0;eor
       1526;19490903;    5;   0.2;   1;   0;eor
       1526;19490904;    5;   0.1;   1;   0;eor
       1526;19490905;    5;   0.0;   0;   0;eor
       1526;19490906;    5;   0.0;   1;   0;eor
       1526;19490907;    5;   3.5;   1;   0;eor
       1526;19490908;    5;  10.6;   1;   0;eor
       1526;19490909;    5;   0.3;   1;   0;eor
       1526;19490910;    5;   0.0;   0;   0;eor
       1526;19490911;    5;   0.1;   1;   0;eor
       1526;19490912;    5;   0.0;   0;   0;eor
       1526;19490913;    5;   6.0;   1;   0;eor
       1526;19490914;    5;   0.0;   1;   0;eor
       1526;19490915;    5;   2.2;   1;   0;eor
       1526;19490916;    5;   4.6;   1;   0;eor
       1526;19490917;    5;   1.8;   1;   0;eor
       1526;19490918;    5;   0.0;   0;   0;eor
       1526;19490919;    5;   0.0;   0;   0;eor
       1526;19490920;    5;   0.1;   1;   0;eor
       1526;19490921;    5;   0.0;   0;   0;eor
       1526;19490922;    5;   0.0;   0;   0;eor
       1526;19490923;    5;   0.0;   0;   0;eor
       1526;19490924;    5;   0.0;   0;   0;eor
       1526;19490925;    5;   0.0;   0;   0;eor
       1526;19490926;    5;   0.0;   1;   0;eor
       1526;19490927;    5;   0.0;   0;   0;eor
       1526;19490928;    5;   0.0;   1;   0;eor
       1526;19490929;    5;   0.2;   1;   0;eor
       1526;19490930;    5;   0.1;   1;   0;eor
       1526;19491001;    5;   0.2;   1;   0;eor
       1526;19491002;    5;   0.1;   1;   0;eor
       1526;19491003;    5;   0.0;   0;   0;eor
       1526;19491004;    5;   0.0;   0;   0;eor
       1526;19491005;    5;   0.1;   1;   0;eor
       1526;19491006;    5;   0.1;   1;   0;eor
       1526;19491007;    5;   0.1;   1;   0;eor
       1526;19491008;    5;   0.0;   1;   0;eor
       1526;19491009;    5;   0.2;   1;   0;eor
       1526;19491010;    5;   0.0;   0;   0;eor
       1526;19491011;    5;   0.2;   1;   0;eor
       1526;19491012;    5;   6.6;   1;   0;eor
       1526;19491013;    5;   0.2;   1;   0;eor
       1526;19491014;    5;   0.2;   1;   0;eor
       1526;19491015;    5;   0.2;   1;   0;eor
       1526;19491016;    5;   0.0;   0;   0;eor
       1526;19491017;    5;   0.0;   1;   0;eor
       1526;19491018;    5;   0.0;   0;   0;eor
       1526;19491019;    5;   0.5;   1;   0;eor
       1526;19491020;    5;   0.3;   1;   0;eor
       1526;19491021;    5;   3.1;   1;   0;eor
       1526;19491022;    5;   1.5;   1;   0;eor
       1526;19491023;    5;   0.0;   0;   0;eor
       1526;19491024;    5;  20.5;   1;   0;eor
       1526;19491025;    5;   0.1;   1;   0;eor
       1526;19491026;    5;   0.0;   1;   0;eor
       1526;19491027;    5;   1.4;   1;   0;eor
       1526;19491028;    5;   0.0;   0;   0;eor
       1526;19491029;    5;   0.0;   0;   0;eor
       1526;19491030;    5;   0.0;   0;   0;eor
       1526;19491031;    5;   0.0;   0;   0;eor
       1526;19491101;    5;   0.0;   0;   0;eor
       1526;19491102;    5;   0.0;   0;   0;eor
       1526;19491103;    5;   0.0;   0;   0;eor
       1526;19491104;    5;   0.0;   0;   0;eor
       1526;19491105;    5;   0.0;   0;   0;eor
       1526;19491106;    5;   0.0;   0;   0;eor
       1526;19491107;    5;   0.4;   1;   0;eor
       1526;19491108;    5;   3.5;   1;   0;eor
       1526;19491109;    5;   0.1;   1;   0;eor
       1526;19491110;    5;   0.4;   1;   0;eor
       1526;19491111;    5;   3.2;   1;   0;eor
       1526;19491112;    5;   3.4;   1;   0;eor
       1526;19491113;    5;   2.0;   1;   0;eor
       1526;19491114;    5;   0.1;   1;   0;eor
       1526;19491115;    5;   0.2;   1;   0;eor
       1526;19491116;    5;   0.7;   1;   0;eor
       1526;19491117;    5;   0.0;   1;   0;eor
       1526;19491118;    5;   0.0;   0;   0;eor
       1526;19491119;    5;   0.1;   1;   0;eor
       1526;19491120;    5;   0.0;   0;   0;eor
       1526;19491121;    5;   0.0;   0;   0;eor
       1526;19491122;    5;   0.1;   1;   0;eor
       1526;19491123;    5;   0.0;   1;   0;eor
       1526;19491124;    5;   0.0;   1;   0;eor
       1526;19491125;    5;   0.0;   0;   0;eor
       1526;19491126;    5;  15.3;   1;   0;eor
       1526;19491127;    5;   4.5;   1;   0;eor
       1526;19491128;    5;   2.0;   1;   0;eor
       1526;19491129;    5;   0.0;   0;   0;eor
       1526;19491130;    5;   0.1;   1;   0;eor
       1526;19491201;    5;   0.0;   1;   0;eor
       1526;19491202;    5;   0.6;   8;   0;eor
       1526;19491203;    5;   1.1;   8;   0;eor
       1526;19491204;    5;   6.7;   1;   0;eor
       1526;19491205;    5;  10.0;   1;   0;eor
       1526;19491206;    5;   0.2;   1;   0;eor
       1526;19491207;    5;   0.0;   1;   0;eor
       1526;19491208;    5;   6.0;   1;   0;eor
       1526;19491209;    5;   3.2;   1;   0;eor
       1526;19491210;    5;   0.0;   0;   0;eor
       1526;19491211;    5;   5.0;   7;   0;eor
       1526;19491212;    5;   1.6;   7;   5;eor
       1526;19491213;    5;   0.0;   0;   0;eor
       1526;19491214;    5;   0.0;   0;   0;eor
       1526;19491215;    5;   8.8;   7;   0;eor
       1526;19491216;    5;   2.9;   8;   5;eor
       1526;19491217;    5;   8.4;   8;   5;eor
       1526;19491218;    5;   3.7;   8;   0;eor
       1526;19491219;    5;   1.9;   1;   0;eor
       1526;19491220;    5;   0.0;   0;   0;eor
       1526;19491221;    5;   1.9;   1;   0;eor
       1526;19491222;    5;   0.0;   0;   0;eor
       1526;19491223;    5;   0.0;   0;   0;eor
       1526;19491224;    5;   0.0;   0;   0;eor
       1526;19491225;    5;   0.0;   0;   0;eor
       1526;19491226;    5;   1.4;   8;   0;eor
       1526;19491227;    5;   0.1;   1;   0;eor
       1526;19491228;    5;   0.2;   1;   0;eor
       1526;19491229;    5;   0.0;   0;   0;eor
       1526;19491230;    5;   0.0;   0;   0;eor
       1526;19491231;    5;   0.0;   0;   0;eor
       1526;19500101;    5;   0.0;   0;   0;eor
       1526;19500102;    5;   2.3;   8;   0;eor
       1526;19500103;    5;   2.2;   1;   0;eor
       1526;19500104;    5;   3.0;   8;   0;eor
       1526;19500105;    5;   2.2;   8;   2;eor
       1526;19500106;    5;   0.0;   1;   0;eor
       1526;19500107;    5;   0.5;   1;   0;eor
       1526;19500108;    5;   0.0;   0;   0;eor
       1526;19500109;    5;   0.0;   0;   0;eor
       1526;19500110;    5;   1.1;   1;   0;eor
       1526;19500111;    5;   4.7;   1;   0;eor
       1526;19500112;    5;   1.3;   1;   0;eor
       1526;19500113;    5;   0.0;   0;   0;eor
       1526;19500114;    5;   0.0;   0;   0;eor
       1526;19500115;    5;   2.1;   1;   0;eor
       1526;19500116;    5;   8.8;   1;   0;eor
       1526;19500117;    5;   0.3;   7;   0;eor
       1526;19500118;    5;   0.0;   1;   0;eor
       1526;19500119;    5;   0.1;   7;   0;eor
       1526;19500120;    5;   0.0;   0;   0;eor
       1526;19500121;    5;   0.0;   0;   0;eor
       1526;19500122;    5;   0.0;   0;   0;eor
       1526;19500123;    5;   0.0;   0;   0;eor
       1526;19500124;    5;   0.0;   0;   0;eor
       1526;19500125;    5;   0.0;   0;   0;eor
       1526;19500126;    5;   0.0;   0;   0;eor
       1526;19500127;    5;   0.0;   0;   0;eor
       1526;19500128;    5;   0.0;   0;   0;eor
       1526;19500129;    5;   0.0;   0;   0;eor
       1526;19500130;    5;   0.0;   0;   0;eor
       1526;19500131;    5;   2.2;   8;   0;eor
       1526;19500201;    5;   1.5;   7;   1;eor
       1526;19500202;    5;   0.0;   0;   1;eor
       1526;19500203;    5;   0.0;   0;   0;eor
       1526;19500204;    5;   0.0;   0;   0;eor
       1526;19500205;    5;   5.0;   1;   0;eor
       1526;19500206;    5;   3.6;   1;   0;eor
       1526;19500207;    5;   0.3;   8;   0;eor
       1526;19500208;    5;  10.6;   8;   0;eor
       1526;19500209;    5;   5.0;   8;   4;eor
       1526;19500210;    5;  24.8;   1;   4;eor
       1526;19500211;    5;   2.8;   1;   0;eor
       1526;19500212;    5;   0.5;   1;   0;eor
       1526;19500213;    5;   4.2;   1;   0;eor
       1526;19500214;    5;   3.3;   8;   0;eor
       1526;19500215;    5;   0.5;   8;   0;eor
       1526;19500216;    5;   0.0;   0;   0;eor
       1526;19500217;    5;   0.0;   0;   0;eor
       1526;19500218;    5;   0.0;   0;   0;eor
       1526;19500219;    5;   0.0;   0;   0;eor
       1526;19500220;    5;  13.3;   1;   0;eor
       1526;19500221;    5;   4.1;   1;   0;eor
       1526;19500222;    5;   0.0;   0;   0;eor
       1526;19500223;    5;   1.6;   1;   0;eor
       1526;19500224;    5;   5.1;   1;   0;eor
       1526;19500225;    5;   5.3;   8;   0;eor
       1526;19500226;    5;  10.3;   7;   0;eor
       1526;19500227;    5;   0.1;   7;   6;eor
       1526;19500228;    5;   0.0;   0;   5;eor
       1526;19500301;    5;   0.0;   0;   0;eor
       1526;19500302;    5;   0.0;   0;   0;eor
       1526;19500303;    5;   0.0;   0;   0;eor
       1526;19500304;    5;   0.4;   1;   0;eor
       1526;19500305;    5;   0.0;   0;   0;eor
       1526;19500306;    5;   0.3;   1;   0;eor
       1526;19500307;    5;   0.0;   0;   0;eor
       1526;19500308;    5;   0.3;   1;   0;eor
       1526;19500309;    5;   2.8;   1;   0;eor
       1526;19500310;    5;   3.0;   1;   0;eor
       1526;19500311;    5;   0.3;   8;   0;eor
       1526;19500312;    5;   0.8;   8;   0;eor
       1526;19500313;    5;   2.4;   7;   0;eor
       1526;19500314;    5;   0.1;   1;   0;eor
       1526;19500315;    5;   0.0;   0;   0;eor
       1526;19500316;    5;   0.1;   1;   0;eor
       1526;19500317;    5;   1.8;   1;   0;eor
       1526;19500318;    5;   0.0;   0;   0;eor
       1526;19500319;    5;   0.0;   0;   0;eor
       1526;19500320;    5;   0.0;   0;   0;eor
       1526;19500321;    5;   0.1;   1;   0;eor
       1526;19500322;    5;   0.0;   1;   0;eor
       1526;19500323;    5;   0.0;   0;   0;eor
       1526;19500324;    5;   1.3;   1;   0;eor
       1526;19500325;    5;   0.3;   1;   0;eor
       1526;19500326;    5;   0.0;   0;   0;eor
       1526;19500327;    5;   0.0;   0;   0;eor
       1526;19500328;    5;   0.0;   0;   0;eor
       1526;19500329;    5;   0.0;   0;   0;eor
       1526;19500330;    5;   0.0;   0;   0;eor
       1526;19500331;    5;   0.0;   0;   0;eor
       1526;19500401;    5;   0.6;   1;   0;eor
       1526;19500402;    5;   4.6;   1;   0;eor
       1526;19500403;    5;   1.3;   1;   0;eor
       1526;19500404;    5;   0.5;   1;   0;eor
       1526;19500405;    5;   0.7;   1;   0;eor
       1526;19500406;    5;   0.5;   1;   0;eor
       1526;19500407;    5;   0.0;   0;   0;eor
       1526;19500408;    5;   0.0;   0;   0;eor
       1526;19500409;    5;   8.6;   1;   0;eor
       1526;19500410;    5;  14.7;   1;   0;eor
       1526;19500411;    5;   0.6;   1;   0;eor
       1526;19500412;    5;   2.0;   1;   0;eor
       1526;19500413;    5;  13.5;   8;   0;eor
       1526;19500414;    5;   0.0;   1;   0;eor
       1526;19500415;    5;  25.3;   8;   0;eor
       1526;19500416;    5;   0.9;   1;   0;eor
       1526;19500417;    5;   0.0;   0;   0;eor
       1526;19500418;    5;   0.0;   0;   0;eor
       1526;19500419;    5;   0.0;   0;   0;eor
       1526;19500420;    5;   0.0;   1;   0;eor
       1526;19500421;    5;   2.6;   1;   0;eor
       1526;19500422;    5;   0.0;   0;   0;eor
       1526;19500423;    5;   0.0;   1;   0;eor
       1526;19500424;    5;   1.9;   1;   0;eor
       1526;19500425;    5;   0.0;   0;   0;eor
       1526;19500426;    5;  10.5;   8;   0;eor
       1526;19500427;    5;   2.7;   1;   0;eor
       1526;19500428;    5;   4.2;   1;   0;eor
       1526;19500429;    5;   2.1;   1;   0;eor
       1526;19500430;    5;   0.0;   0;   0;eor
       1526;19500501;    5;   0.0;   0;   0;eor
       1526;19500502;    5;   2.8;   1;   0;eor
       1526;19500503;    5;   4.4;   1;   0;eor
       1526;19500504;    5;   0.2;   1;   0;eor
       1526;19500505;    5;   0.0;   0;   0;eor
       1526;19500506;    5;   0.0;   0;   0;eor
       1526;19500507;    5;   0.0;   0;   0;eor
       1526;19500508;    5;   0.0;   0;   0;eor
       1526;19500509;    5;   0.0;   0;   0;eor
       1526;19500510;    5;   0.0;   0;   0;eor
       1526;19500511;    5;   0.0;   0;   0;eor
       1526;19500512;    5;   0.0;   0;   0;eor
       1526;19500513;    5;   0.0;   0;   0;eor
       1526;19500514;    5;   0.0;   0;   0;eor
       1526;19500515;    5;   0.0;   0;   0;eor
       1526;19500516;    5;   0.0;   0;   0;eor
       1526;19500517;    5;   4.2;   1;   0;eor
       1526;19500518;    5;   5.0;   1;   0;eor
